date,Strategy,SPY JPY,QQQ JPY,Static Equal Weight,Strategy Drawdown,SPY JPY Drawdown,QQQ JPY Drawdown,Static Equal Weight Drawdown
2016-10-07,184085.2142926493,138423.98618534108,262916.9482495568,181932.24079499266,-0.22038061665475261,-0.13642842307108227,-0.12364685008615761,-0.1074887391850815
2016-10-10,184085.2142926493,138143.24345477976,262687.65799345524,181186.43013811935,-0.22038061665475261,-0.13817986405485483,-0.12441111895325407,-0.11114748821596532
2016-10-11,184085.2142926493,137297.57383221062,260623.73514552217,180894.31237141087,-0.22038061665475261,-0.14345565670935256,-0.13129057385719767,-0.1125805404068918
2016-10-12,184085.2142926493,137007.0549038512,259509.02742748952,180365.33007878473,-0.22038061665475261,-0.14526808745928865,-0.13500611074607083,-0.11517558706205022
2016-10-13,184085.2142926493,137829.49719207032,260981.60880466065,181931.5436421361,-0.22038061665475261,-0.1401372008019759,-0.13009771158435746,-0.10749215923186528
2016-10-14,184085.2142926493,137131.2082601248,259838.00162301448,180607.24516796562,-0.22038061665475261,-0.14449354460286012,-0.1339095759870601,-0.11398881587563758
2016-10-17,184085.2142926493,137072.71154368183,259915.36445063006,181092.68775489493,-0.22038061665475261,-0.14485848208989505,-0.13365171068731985,-0.11160736345455868
2016-10-18,184085.2142926493,137681.86196843546,261770.97615753827,181822.14063117918,-0.22038061665475261,-0.14105823758467562,-0.12746659719352382,-0.10802886135139855
2016-10-19,184085.2142926493,138067.69243273823,261783.90337655082,182239.86163491823,-0.22038061665475261,-0.1386511964954309,-0.127423508266862,-0.10597963303382885
2016-10-20,184085.2142926493,137181.04871600732,260277.59103816032,181091.19791976374,-0.22038061665475261,-0.1441826100439919,-0.13244433926041832,-0.11161467219008314
2016-10-21,184085.2142926493,138198.2918668444,263071.3188478967,182626.45034327725,-0.22038061665475261,-0.13783643915195942,-0.12313230296011668,-0.10408313149014081
2016-10-24,184085.2142926493,138530.05856775527,265763.0887529974,182880.12710845744,-0.22038061665475261,-0.13576668013855775,-0.11416011211854649,-0.10283866064461566
2016-10-25,184085.2142926493,138602.66690998126,265942.82811939996,183615.1716125938,-0.22038061665475261,-0.13531370589383163,-0.11356100597130447,-0.09923272750008272
2016-10-26,184085.2142926493,138102.95394645978,263700.7715159435,182559.00730768417,-0.22038061665475261,-0.1384312140931856,-0.12103421521021285,-0.10441398911310718
2016-10-27,184085.2142926493,138275.53489250698,263520.66224434396,182862.707696838,-0.22038061665475261,-0.13735455098130034,-0.12163455432317549,-0.10292411565225579
2016-10-28,184085.2142926493,138718.62636459677,263472.537951511,183782.9898377612,-0.22038061665475261,-0.13459028149433439,-0.12179496191915717,-0.0984094558519274
2016-10-31,184085.2142926493,137875.99939237704,261612.1550078952,182787.93567699913,-0.22038061665475261,-0.13984709227702874,-0.12799597886971203,-0.10329092732570333
2016-11-01,184085.2142926493,137210.8339071193,260264.22208982453,182846.45502245636,-0.22038061665475261,-0.14399679221598016,-0.13248890055653517,-0.10300384695683706
2016-11-02,184085.2142926493,135437.78448452184,256372.45998230358,181416.00150209985,-0.22038061665475261,-0.15505813445904537,-0.14546089800420092,-0.11002127206748114
2016-11-03,184085.2142926493,133893.10849875025,252098.89770861066,179742.41603446146,-0.22038061665475261,-0.1646947466794949,-0.15970550941034323,-0.11823143794724189
2016-11-04,184085.2142926493,133323.8478955015,250416.45668502097,179145.3153369189,-0.22038061665475261,-0.1682461346316726,-0.16531341145082945,-0.12116065540792109
2016-11-07,184085.2142926493,137775.9540076294,259250.75316503903,182151.76846146293,-0.22038061665475261,-0.14047123519511595,-0.13586698892432103,-0.1064117947494555
2016-11-08,184085.2142926493,138719.2476871927,261564.2346791317,182728.147085944,-0.22038061665475261,-0.13458640531254884,-0.12815570661391562,-0.10358423427642194
2016-11-09,184085.2142926493,140983.95253450974,264267.95234820305,183734.3852759704,-0.22038061665475261,-0.12045782261404503,-0.1191436915591868,-0.09864789692501985
2016-11-10,184085.2142926493,142443.93611056238,262008.69086932833,183576.48559523284,-0.22038061665475261,-0.11134957227530695,-0.12667424798269877,-0.09942251082809461
2016-11-11,184085.2142926493,143462.21413914222,264606.37176269206,184122.31883916107,-0.22038061665475261,-0.10499694519725589,-0.11801567405459468,-0.09674479788065704
2016-11-14,184085.2142926493,143595.05872000777,261951.48939471165,183072.41414272581,-0.22038061665475261,-0.10416818128613059,-0.1268649115850028,-0.10189535151675966
2016-11-15,184085.2142926493,146517.82381647284,268917.862198493,186765.23330580787,-0.22038061665475261,-0.08593422535910189,-0.10364464073250101,-0.08377936133930797
2016-11-16,184085.2142926493,147372.52705480013,272615.3919160065,188306.9181895138,-0.22038061665475261,-0.08060207560912802,-0.09132005748894634,-0.07621626469781628
2016-11-17,184085.2142926493,147786.41919644148,273973.61985701433,188030.69615094044,-0.22038061665475261,-0.07801996900112196,-0.08679282049518133,-0.07757133666765892
2016-11-18,184085.2142926493,149449.63995441791,276633.84525457077,189671.01742682618,-0.22038061665475261,-0.06764380362452682,-0.07792577361155273,-0.069524356079254
2016-11-21,184085.2142926493,151557.42820178866,281347.6274159241,192000.390754654,-0.22038061665475261,-0.05449416048264366,-0.06221382399167252,-0.05809706910337964
2016-11-22,184085.2142926493,151411.467544736,281386.341919203,191717.7858674836,-0.22038061665475261,-0.05540475031793268,-0.06208478104818149,-0.059483453633459415
