date,SPY_jpy_price,QQQ_jpy_price,GLD_jpy_price,IEF_jpy_price,Strategy_equity,USDJPY
2012-10-08,9377.188657882312,4728.882323994046,13540.679698562622,6271.908982839962,93463.1500158268,78.7020034790039
2012-10-09,9237.330925673468,4627.903303894671,13386.12367225647,6226.0030344755405,91770.70157808202,78.28600311279297
2012-10-10,9167.362439086932,4600.334629668232,13362.934262390138,6235.734622304384,91148.95742727237,78.21900177001953
2012-10-11,9155.594046756632,4577.276388029629,13375.808477172852,6230.036039883032,90863.80979651547,78.07499694824219
2012-10-12,9160.592095177682,4594.3546652897085,13332.2601726532,6256.71004800845,91056.32684527313,78.4020004272461
2012-10-15,9243.40126253286,4632.434283977209,13210.088190460205,6263.720432458558,91845.61197261773,78.46800231933594
2012-10-16,9382.398424287727,4717.985333205364,13348.432628173827,6259.587935145087,93382.50602676693,78.78900146484375
2012-10-17,9424.082010557795,4717.335273389864,13363.98998260498,6222.754487980766,93585.54233640383,78.82499694824219
2012-10-18,9432.776961943007,4675.824931792843,13342.955787963869,6230.182546835321,93222.32289932281,79.05999755859375
2012-10-19,9296.291661619673,4576.878485215094,13239.677295837402,6276.154344787671,91566.74085048956,79.30799865722656
2012-10-22,9297.445600497222,4597.913134618265,13281.888694152833,6250.989575933205,91778.7279313278,79.25700378417969
2012-10-23,9248.643893717963,4595.596178316198,13231.945446624755,6339.010608742309,91510.84800483854,79.98999786376953
2012-10-24,9209.400755840941,4569.778172448949,13159.125149688722,6311.943560528548,91060.62146509613,79.81999969482422
2012-10-25,9236.293741060595,4570.524404993319,13254.704334411623,6290.3089938478315,91203.04031299052,79.83799743652344
2012-10-26,9276.971724904795,4606.816409827457,13314.196001281738,6361.991463939355,91763.14546539844,80.23500061035156
2012-10-31,9202.182750807948,4546.818867289711,13296.07192428589,6344.265113895402,90799.30371569775,79.68399810791016
2012-11-01,9335.519452843242,4622.441859730637,13263.148901367189,6345.562646278231,92207.38111771998,79.86000061035156
2012-11-02,9289.017435689322,4593.106951547103,13043.772198486327,6379.521479819149,91685.15665660868,80.22000122070312
2012-11-05,9343.828005673,4639.9388288715,13140.015,6417.308684633001,92422.90502401133,80.5
2012-11-06,9371.90077631572,4628.900873349714,13338.624609375,6361.078723705371,92451.49056547527,80.16000366210938
2012-11-07,9180.219362508868,4525.673455919453,13367.482252426149,6424.978286804114,90475.30204925578,80.29000091552734
2012-11-08,9023.922718033016,4435.767906276517,13433.36080505371,6427.829347656525,88806.73934320084,79.97000122070312
2012-11-09,8982.16974834339,4427.627239697848,13338.165155181885,6388.958602469957,88519.32776136204,79.47899627685547
2012-11-12,8985.222597872982,4425.861912446599,13303.987646713258,6391.556038821077,88516.8022586455,79.45999908447266
2012-11-13,8972.179027796468,4402.385132886728,13300.825728607177,6410.329593782426,88218.2580777359,79.5979995727539
2012-11-14,8838.328767823694,4342.432495623581,13280.94424697876,6400.983547607434,86959.2649384882,79.45999908447266
2012-11-15,8902.269943559808,4367.879835586516,13319.615493164063,6457.6034772488765,87528.85841871687,80.19999694824219
2012-11-16,9047.522229145186,4437.48131359595,13456.186055603028,6535.891894825919,88940.39092069214,81.12000274658203
2012-11-19,9279.528507454623,4567.095016479854,13688.215563964844,6555.182666147357,91378.88849235959,81.5260009765625
2012-11-20,9268.14601102548,4558.6395993830665,13617.176244583128,6514.024207080139,91238.34680264334,81.3499984741211
2012-11-21,9325.655900061009,4590.7915097284085,13698.867339782715,6536.754303117323,91843.03444700911,81.75499725341797
2012-11-23,9522.553988129062,4695.792097503097,13968.910186691286,6581.3833854319255,93862.67228672662,82.35900115966797
2012-11-26,9523.918513860239,4727.093024204915,13985.768376693726,6607.344296164967,94181.55520261938,82.5459976196289
2012-11-27,9398.050947399981,4672.453249373649,13812.794015350342,6568.652508543673,93014.97254055459,81.87300109863281
2012-11-28,9497.680830879885,4725.165808950125,13670.42430496216,6593.781194349756,94032.74075644117,82.08000183105469
2012-11-29,9550.131123467667,4757.703149176564,13733.837255096436,6606.105352239493,94616.28120125264,82.1500015258789
2012-11-30,9552.935250982377,4749.72032609859,13641.173712158205,6604.9673754927035,94550.52427679853,82.1510009765625
2012-12-03,9540.514181372348,4757.816580576936,13698.41549293518,6626.844163606409,94568.18806012203,82.45600128173828
2012-12-04,9489.705166679372,4736.255928127064,13504.30839187622,6612.471712209965,94102.08953298259,82.13300323486328
2012-12-05,9469.809720403595,4665.065334491834,13427.642230529786,6592.417233089495,93296.11212523664,81.81600189208984
2012-12-06,9573.938348148462,4730.989487959524,13560.721508026123,6646.046383745565,94467.32437723735,82.43599700927734
2012-12-07,9602.235381982237,4702.040561900691,13614.138850402831,6626.590547330389,94319.96179007538,82.43000030517578
2012-12-10,9621.43068804757,4723.413610839011,13688.447595214844,6643.170867835698,94627.48021358676,82.55999755859375
2012-12-11,9662.298093324176,4773.682401562774,13641.27724723816,6613.433558268472,95329.54071020475,82.3499984741211
2012-12-12,9686.969356711923,4773.257299873088,13679.339843521118,6598.902617837752,95447.61774117214,82.5199966430664
2012-12-13,9708.071344110587,4774.750398266343,13677.227549514771,6641.106389541893,95567.06036891864,83.20999908447266
2012-12-14,9725.801361579362,4754.735415243804,13732.264679946898,6692.488972057977,95456.08262691487,83.66699981689453
2012-12-17,9897.151625958264,4847.037938136981,13838.941048278808,6696.147655621034,97222.62330760335,84.15799713134766
2012-12-18,9976.973971414049,4906.798704348606,13598.998220214844,6649.8939452158975,98212.10444658555,83.90299987792969
2012-12-19,9956.908421145128,4912.062598301794,13640.330099868774,6695.388437895454,98164.9372912379,84.36100006103516
2012-12-20,9998.157982772018,4904.164397676907,13453.418648529052,6689.051296737728,98290.94369619829,84.22599792480469
2012-12-21,9860.290084374088,4863.087150866428,13535.058306427003,6722.635215972803,97199.35791631995,84.41999816894531
2012-12-24,9828.742345164517,4852.69312375395,13557.934788208007,6714.945478512787,96939.69358482971,84.41000366210938
2012-12-26,9855.724456735,4843.26144468,13666.3,6775.821412804999,96979.73644195411,85.0
2012-12-27,9919.864457341608,4873.65865482393,13806.25476196289,6843.084134166415,97599.71981764951,85.66799926757812
2012-12-28,9908.751088516758,4873.400724613156,13887.834387512206,6926.182655632078,97542.06561637699,86.50700378417969
2012-12-31,10013.443425794292,4946.424081280154,13927.23905166626,6845.957101464028,98786.6101413141,85.95999908447266
2013-01-02,10346.554280612276,5143.637459425085,14130.521751022337,6864.733683979429,102395.70828907644,86.5999984741211
2013-01-03,10403.64177386951,5156.562443234338,14068.73024597168,6883.2005588792435,102806.7563134951,87.2750015258789
2013-01-04,10505.004727125608,5166.600413541763,14077.005257263183,6922.483269891169,103408.01376904157,87.73999786376953
2013-01-07,10530.98260299176,5195.179771062973,14061.406828613282,6963.208718064214,103821.11808415089,88.197998046875
2013-01-08,10388.171947158797,5129.335685225774,14009.341415405273,6905.468214907026,102459.09008259512,87.25299835205078
2013-01-09,10368.625402644471,5126.133727625556,13941.444712677003,6878.873176004881,102330.53412932303,86.86799621582031
2013-01-10,10603.243879664953,5232.325126094722,14275.783863983153,6958.732667441628,104548.42660050737,88.13300323486328
2013-01-11,10736.41828726945,5305.588918677394,14373.961113891603,7069.172543902294,105936.69447324186,89.24600219726562
2013-01-14,10762.418956397532,5298.026300847583,14461.545843963622,7088.451308126073,105989.96077975634,89.52300262451172
2013-01-15,10762.162410666146,5267.883286057613,14542.617451171875,7100.756285412479,105688.48708586834,89.45999908447266
2013-01-16,10675.2966050875,5247.5150235662495,14435.1875,7053.639189373749,105056.04155938036,88.75
2013-01-17,10729.735372310477,5265.795974618061,14477.710051345824,7011.81223343558,105507.33240731557,88.62999725341797
2013-01-18,10898.166490394458,5324.502257082276,14648.90675064087,7126.07102128194,106924.97729763706,89.82099914550781
2013-01-22,10929.985353063455,5320.220138133189,14664.831750259398,7114.533250923419,107039.6888588468,89.5999984741211
2013-01-23,10816.717717213474,5289.103322993289,14448.817980422975,7032.783496554961,106169.62567073936,88.52899932861328
2013-01-24,10825.847636527751,5218.442030852864,14298.583895568847,7024.980428597796,105511.03642862977,88.58000183105469
2013-01-25,11129.812718200057,5362.519047773159,14548.142484283448,7134.044185416851,108449.1955872695,90.55799865722656
2013-01-28,11192.710509935483,5411.529832057082,14615.082046966554,7168.051715559458,109248.3694377522,91.1790008544922
2013-01-29,11148.106320117631,5369.666018976777,14563.155252609255,7100.766093292983,108610.8449589453,90.45999908447266
2013-01-30,11144.958684795783,5377.882061711681,14725.230248489379,7130.720147890099,108677.10495454242,90.79000091552734
2013-01-31,11145.767526987804,5379.349288926716,14672.585800170895,7154.9540007662,108695.71768128139,91.02100372314452
2013-02-01,11345.29306102561,5484.7145948909865,14806.09526824951,7184.304565991911,110729.72879435048,91.70700073242188
2013-02-04,11347.794881055112,5450.342851101672,15028.739456176758,7309.709712976305,110394.82492474909,92.7699966430664
2013-02-05,11386.146488369744,5494.897784551826,14925.099860229491,7235.02357847637,111031.84548802099,92.15299987792967
2013-02-06,11569.646006190991,5560.971985213775,15194.832250442503,7368.565372890612,112594.2034481914,93.56999969482422
2013-02-07,11537.667674275059,5557.964673180042,15121.520004882816,7361.41211621082,112407.84544992942,93.43499755859376
2013-02-08,11626.454191094688,5627.549470168459,15128.28433265686,7382.588966408656,113543.65165929028,93.63300323486328
2013-02-11,11487.844292336076,5563.213181472697,14777.840084838866,7288.438055191024,112217.81292760777,92.53500366210938
2013-02-12,11712.691497083015,5639.174462217873,15060.199292526244,7411.157658479619,114081.70824650233,94.19100189208984
2013-02-13,11612.43871930514,5606.166092442464,14840.160298538209,7315.743264722985,113259.34222266215,93.30500030517578
2013-02-14,11617.019400458366,5601.552941939789,14767.087078094482,7343.143600376619,113235.09998404044,93.25599670410156
2013-02-15,11566.08631158528,5566.958800287419,14478.98243408203,7312.679595110643,112637.29812683766,92.95700073242188
2013-02-19,11739.64141887462,5649.519277928096,14546.654737014771,7355.343514009558,114317.63672989632,93.6500015258789
2013-02-20,11600.506698771129,5564.981282568405,14191.139547729494,7375.94458504362,112785.22835405712,93.70800018310548
2013-02-21,11524.081330117877,5501.793759648586,14294.389758911133,7386.809702468454,111774.3227520281,93.66000366210938
2013-02-22,11573.337237634387,5527.593136762285,14249.155733413696,7355.602043705828,112275.12833603712,93.1500015258789
2013-02-25,11483.543868195868,5521.200811453321,14541.914988403321,7497.614082361935,111772.56827360866,94.22000122070312
2013-02-26,11338.447836829251,5435.0427868052275,14434.25983581543,7338.790224874253,110194.720922663,92.39700317382812
2013-02-27,11445.63016577885,5474.120156802175,14237.44279434204,7312.565819360788,111112.17745379845,92.11000061035156
2013-02-28,11446.961726438845,5474.110582932088,14122.359214782715,7338.195812862431,111118.57603867902,92.3030014038086
2013-03-01,11519.42729362353,5513.8512729808745,14113.20019165039,7378.784393773598,111871.55246881238,92.58200073242188
2013-03-04,11703.604664161421,5597.450522421349,14249.797655487062,7439.615041619923,113613.9322717051,93.56400299072266
2013-03-05,11787.884433936684,5671.268855692814,14232.444528808594,7418.99615655593,114772.21576379756,93.4010009765625
2013-03-06,11789.774218287894,5650.278445852346,14294.67369445801,7386.458049903557,114568.33345578966,93.28900146484376
2013-03-07,11891.916812376563,5704.047815523267,14341.713928222656,7408.269596446869,115609.8101610707,93.927001953125
2013-03-08,12069.900358503108,5771.63192461231,14496.455094375611,7449.0126177267875,117159.57581342394,94.9280014038086
2013-03-11,12274.230539355489,5864.354939889549,14713.048019866947,7550.056370955362,119092.36721732689,96.16999816894533
2013-03-12,12303.875723225445,5870.122548471442,14897.68411819458,7606.191463101918,119294.7817010952,96.61900329589844
2013-03-13,12219.370698294257,5813.862709703149,14723.70115310669,7536.86314785333,118313.62463359386,95.81999969482422
2013-03-14,12310.065957254841,5845.757534394081,14756.353084106446,7554.741311362801,119077.51777646974,96.0199966430664
