date,cash_jpy,equity_jpy,QUAL_value_jpy,QUAL_weight,USMV_value_jpy,USMV_weight,SPY_value_jpy,SPY_weight,QQQ_value_jpy,QQQ_weight,market_weight
2014-05-08,0.024859351295162924,97958.81863956495,48389.54298581393,0.4939784254020158,49569.25079439973,0.5060213208244941,0.0,0.0,0.0,0.0,0.9999997462265099
2014-05-09,0.024859351295162924,97978.6499483236,48463.736468654926,0.49463568332709135,49514.888620317375,0.5053640629507834,0.0,0.0,0.0,0.0,0.9999997462778747
2014-05-12,0.024859351295162924,99038.00736997214,49128.546236507755,0.4960574989456351,49909.4362741131,0.5039422500461718,0.0,0.0,0.0,0.0,0.9999997489918068
2014-05-13,0.024859351295162924,99469.85757580398,49352.584837663824,0.4961561827918896,50117.247878788854,0.5038435672896737,0.0,0.0,0.0,0.0,0.9999997500815634
2014-05-14,0.024859351295162924,99084.40878298279,49080.59279323514,0.4953412287167471,50003.791130396356,0.5046585203926073,0.0,0.0,0.0,0.0,0.9999997491093543
2014-05-15,0.024859351295162924,97773.2345469678,48367.64744180964,0.49469210736374936,49405.56224580686,0.5053076383810712,0.0,0.0,0.0,0.0,0.9999997457448205
2014-05-16,0.024859351295162924,97944.57228270944,48461.92066996092,0.494789241920209,49482.62675339723,0.5052105042693887,0.0,0.0,0.0,0.0,0.9999997461895976
2014-05-19,0.024859351295162924,98158.24516919261,48654.63062383665,0.49567543246083945,49503.58968600466,0.5043243142812579,0.0,0.0,0.0,0.0,0.9999997467420974
2014-05-20,0.024859351295162924,97518.2828755562,48333.31670626816,0.49563338566929716,49184.94130993673,0.5043663594107989,0.0,0.0,0.0,0.0,0.9999997450800961
2014-05-21,0.024859351295162924,97903.46016701234,48563.39321758231,0.4960334714905745,49340.04209007873,0.5039662745924418,0.0,0.0,0.0,0.0,0.9999997460830163
2014-05-22,0.024859351295162924,98257.85351738454,48759.54653019184,0.49624070529451286,49498.28212784142,0.5037590417043234,0.0,0.0,0.0,0.0,0.9999997469988362
2014-05-23,0.024859351295162924,98962.01627230227,49173.032373810485,0.4968879396970528,49788.959039140485,0.5031118091020094,0.0,0.0,0.0,0.0,0.9999997487990622
2014-05-27,0.024859351295162924,99388.95386010267,49428.00991944563,0.4973189474256789,49960.91908130575,0.5026808024524481,0.0,0.0,0.0,0.0,0.999999749878127
2014-05-28,0.024859351295162924,99363.3548873294,49457.03307489307,0.49773916280276204,49906.296953085046,0.5022605870109261,0.0,0.0,0.0,0.0,0.9999997498136881
