month,date,equity_jpy,return,year
2024-08,2024-08-30,471960.3354578985,-0.010952812031906345,2024
2024-09,2024-09-30,468778.7404842194,-0.00674123381701619,2024
2024-10,2024-10-31,495324.3279758806,0.05662711466872672,2024
2024-11,2024-11-29,513433.1795371321,0.03655958437424722,2024
2024-12,2024-12-31,508401.48314866464,-0.009800099777352966,2024
2025-01,2025-01-31,515282.392329926,0.013534400290585502,2025
2025-02,2025-02-28,506352.6817701553,-0.01732974130824394,2025
2025-03,2025-03-31,489434.04848466,-0.03341274549262696,2025
2025-04,2025-04-30,460607.11644878483,-0.058898501493973354,2025
2025-05,2025-05-30,478021.92574161506,0.037808380875866465,2025
2025-06,2025-06-30,490405.89192504203,0.025906690711339664,2025
2025-07,2025-07-31,504769.96355095506,0.02929016935242812,2025
2025-08,2025-08-29,507488.39936117444,0.00538549439648861,2025
2025-09,2025-09-30,525396.1942529663,0.035287101960033374,2025
2025-10,2025-10-31,541261.0628248594,0.030196009688365777,2025
2025-11,2025-11-28,558328.645042457,0.03153299468563531,2025
2025-12,2025-12-31,558250.6965059923,-0.00013961049134203485,2025
2026-01,2026-01-30,554268.8391971019,-0.007132740422559736,2026
2026-02,2026-02-27,575786.2823690193,0.03882131133889288,2026
2026-03,2026-03-31,558150.9920517505,-0.0306281876753125,2026
2026-04,2026-04-30,587372.2062316824,0.05235360072104389,2026
2026-05,2026-05-29,601764.5224761259,0.024502889465570776,2026
2026-06,2026-06-30,618589.690714629,0.02795972113688494,2026
2026-07,2026-07-31,616378.5888478371,-0.0035744240487383117,2026
2026-08,2026-08-10,625447.966314472,0.0147139722740659,2026
