date,cash,shares,close_price,position_value,exposure_pct,equity,gross_cash,gross_shares,gross_position_value,gross_equity
2020-05-26,673.0137569720117,0.0,274.217681778,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-27,673.0137569720117,0.0,278.297756286,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-28,673.0137569720117,0.0,277.784308707,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-05-29,673.0137569720117,0.0,279.02208412,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-01,673.0137569720117,0.0,280.149835051,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-02,673.0137569720117,0.0,282.469517862,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-03,673.0137569720117,0.0,286.228687633,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-04,673.0137569720117,0.0,285.476853679,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-05,673.0137569720117,0.0,292.793481673,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-08,673.0137569720117,0.0,296.332602483,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-09,673.0137569720117,0.0,294.122944154,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-10,673.0137569720117,0.0,292.481745644,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-11,673.0137569720117,0.0,275.620493912,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-12,673.0137569720117,0.0,278.921228345,0.0,0.0,673.0137569720117,680.9599142499018,0.0,0.0,680.9599142499018
2020-06-15,504.76031772900876,0.6146395090053602,281.525141065,173.0364744768564,0.2552925544449915,677.7967922058651,510.7199356874263,0.6230287136054978,175.39824648533326,686.1181821727596
2020-06-16,504.76031772900876,0.6146395090053602,286.94384676,176.36702508467573,0.25893399662406325,681.1273428136844,510.7199356874263,0.6230287136054978,178.7742557238959,689.4941914113222
2020-06-17,504.76031772900876,0.6146395090053602,285.751914882,175.63441666041396,0.2581360609999811,680.3947343894228,510.7199356874263,0.6230287136054978,178.03164793924017,688.7515836266665
2020-06-18,504.76031772900876,0.6146395090053602,285.861939363,175.70204205339436,0.25820978857607935,680.4623597824032,510.7199356874263,0.6230287136054978,178.1001963501027,688.820132037529
2020-06-19,682.2649567739378,0.0,284.228472901,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
2020-06-22,682.2649567739378,0.0,286.05186707,0.0,0.0,682.2649567739378,690.9752784011152,0.0,0.0,690.9752784011152
