date,cash_jpy,quantity,position_value_jpy,equity_jpy,gross_equity_jpy,market_weight,usdjpy
2022-01-03,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,115.14199829101562
2022-01-04,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,115.3280029296875
2022-01-05,85653.00403874546,0.0,0.0,85653.00403874546,105207.16928963288,0.0,116.17400360107422
2022-01-06,64239.753029059095,0.41749849790239024,21346.84647517084,85586.59950422993,105199.56327025202,0.24941809347286686,116.12799835205078
2022-01-07,64239.753029059095,0.41749849790239024,21214.297688539875,85454.05071759896,105036.29500981042,0.24825385701898464,115.86499786376952
2022-01-10,64239.753029059095,0.41749849790239024,21142.730245026105,85382.4832740852,104948.14111339433,0.2476237447575295,115.61799621582033
2022-01-11,64239.753029059095,0.41749849790239024,21272.563907870615,85512.31693692971,105108.06499363626,0.24876608037132666,115.27799987792967
2022-01-12,64239.753029059095,0.41749849790239024,21339.882618452557,85579.63564751165,105190.98547183335,0.249357016502711,115.33100128173828
2022-01-13,85572.32946490379,0.0,0.0,85572.32946490379,105256.27815993075,0.0,114.6750030517578
2022-01-14,85572.32946490379,0.0,0.0,85572.32946490379,105256.27815993075,0.0,114.11799621582033
2022-01-18,85572.32946490379,0.0,0.0,85572.32946490379,105256.27815993075,0.0,114.5709991455078
2022-01-19,85572.32946490379,0.0,0.0,85572.32946490379,105256.27815993075,0.0,114.5540008544922
2022-01-20,64179.247098677835,0.43618576932924036,20965.85256410998,85145.09966278782,104803.51473051592,0.24623674935074374,114.34700012207033
2022-01-21,64179.247098677835,0.43618576932924036,20490.645458715728,84669.89255739356,104217.34842123093,0.24200627684541026,113.99299621582033
2022-01-24,84334.5399037929,0.0,0.0,84334.5399037929,103873.9832405578,0.0,113.78500366210938
2022-01-25,63250.90492784468,0.45345836547955126,21134.679751755255,84385.58467959994,104010.28020062612,0.25045367442793254,114.01100158691406
2022-01-26,63250.90492784468,0.45345836547955126,21056.509072742898,84307.41400058757,103913.72660245038,0.24975868756449046,113.875
2022-01-27,63250.90492784468,0.45345836547955126,21108.194167816422,84359.0990956611,103977.5661643482,0.25021834507597407,114.72100067138672
2022-01-28,63250.90492784468,0.45345836547955126,21751.40795114485,85002.31287898953,104772.04058827864,0.25589195416494676,115.35199737548828
2022-01-31,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.26200103759766
2022-02-01,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.12100219726562
2022-02-02,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.73600006103516
2022-02-03,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.38200378417967
2022-02-04,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.95700073242188
2022-02-07,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.2239990234375
2022-02-08,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.06300354003906
2022-02-09,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.53099822998048
2022-02-10,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.60199737548828
2022-02-11,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,116.0469970703125
2022-02-14,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.58399963378906
2022-02-15,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.53600311279295
2022-02-16,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.63500213623048
2022-02-17,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.38700103759766
2022-02-18,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.86599731445312
2022-02-22,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.60900115966795
2022-02-23,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.09600067138672
2022-02-24,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.89800262451172
2022-02-25,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.5709991455078
2022-02-28,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.58499908447266
2022-03-01,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.0780029296875
2022-03-02,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.83300018310548
2022-03-03,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.5189971923828
2022-03-04,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.4739990234375
2022-03-07,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,114.9499969482422
2022-03-08,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.3730010986328
2022-03-09,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.72200012207033
2022-03-10,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,115.90899658203124
2022-03-11,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,116.1790008544922
2022-03-14,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,117.52899932861328
2022-03-15,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,118.21800231933594
2022-03-16,84906.14278613446,0.0,0.0,84906.14278613446,104728.87902535628,0.0,118.29199981689452
